pipeline,final_acc,task_score,total_dist
E1-A_E2-A_E3-A,0.32,1.4673333333333334,0.06601232
E1-A_E2-A_E3-B,0.806,1.9706666666666668,0.37017965
E1-A_E2-A_E3-C,0.608,1.7546666666666666,0.047816396
E1-A_E2-B_E3-A,0.342,1.47,0.06379497
E1-A_E2-B_E3-B,0.818,1.9733333333333332,0.39390957
E1-A_E2-B_E3-C,0.588,1.7573333333333334,0.082072675
E1-A_E2-C_E3-A,0.294,1.4733333333333334,0.598868
E1-A_E2-C_E3-B,0.832,1.9766666666666666,0.26820403
E1-A_E2-C_E3-C,0.592,1.7606666666666668,0.5919745
E1-B_E2-A_E3-A,0.308,1.4655555555555555,0.06540787
E1-B_E2-A_E3-B,0.81,1.968888888888889,0.3695752
E1-B_E2-A_E3-C,0.59,1.7528888888888887,0.047211945
E1-B_E2-B_E3-A,0.306,1.468222222222222,0.06278896
E1-B_E2-B_E3-B,0.816,1.9715555555555553,0.39290357
E1-B_E2-B_E3-C,0.604,1.7555555555555555,0.08106667
E1-B_E2-C_E3-A,0.34,1.4715555555555555,0.6041433
E1-B_E2-C_E3-B,0.826,1.9748888888888887,0.27347934
E1-B_E2-C_E3-C,0.584,1.758888888888889,0.5972498
E1-C_E2-A_E3-A,0.298,1.4697777777777778,0.20613748
E1-C_E2-A_E3-B,0.822,1.9731111111111113,0.5103048
E1-C_E2-A_E3-C,0.614,1.757111111111111,0.18794155
E1-C_E2-B_E3-A,0.3,1.4724444444444444,0.18453324
E1-C_E2-B_E3-B,0.81,1.9757777777777776,0.51464784
E1-C_E2-B_E3-C,0.616,1.7597777777777779,0.20281094
E1-C_E2-C_E3-A,0.322,1.4757777777777779,0.56748307
E1-C_E2-C_E3-B,0.82,1.979111111111111,0.23681909
E1-C_E2-C_E3-C,0.62,1.7631111111111113,0.56058955
